id,weight_decay,batch_size,reward,dataset,dropout_ratio,lr,edge_ratio,pooling_ratio,num_layers,K
c2zWa,0,256,0.7995169082125604,NCI109,0,0.001,0.8005386284734184,0.6242656712354608,4,3
Xtiv4,0,256,0.7681159420289855,NCI109,0,0.001,0.8658649286871644,0.6215452392560371,4,3
yniGM,0,256,0.7946859903381642,NCI109,0,0.001,0.7957318920109562,0.7175521574418917,4,3
v8NHJ,0,256,0.7608695652173914,NCI109,0,0.001,0.962135143830021,0.6227222737558196,4,3
N6jHR,0,256,0.7705314009661836,NCI109,0,0.001,0.9566951980816626,0.6188274250039062,4,3
pT2Ap,0,256,0.785024154589372,NCI109,0,0.001,0.8015949791049773,0.7183587106264344,4,3
vl79i,0,256,0.7608695652173914,NCI109,0,0.001,0.788755655849239,0.7150065443621157,4,4
bpWkM,0,256,0.8140096618357487,NCI109,0,0.001,0.797706392736821,0.7204587104467666,4,4
MFVcI,0,256,0.7946859903381642,NCI109,0,0.001,0.6470538520404657,0.609704929388918,4,4
dskIX,0,256,0.785024154589372,NCI109,0,0.001,0.724598683647954,0.626287072471417,2,4
f47jz,0,256,0.785024154589372,NCI109,0,0.001,0.6895906359682338,0.6119917895672826,2,4
yrN5r,0,256,0.782608695652174,NCI109,0,0.001,0.6981813311237172,0.5827941817752407,2,4
n1OzH,0,256,0.7705314009661836,NCI109,0,0.001,0.8606014652480487,0.3862250422347551,2,4
h93mP,0,256,0.7946859903381642,NCI109,0,0.001,0.6945481793943634,0.8734525050138005,2,4
ZPpEH,0,256,0.7584541062801933,NCI109,0,0.001,0.6463947783679214,0.16524381869173677,2,4
I4WNk,0,256,0.7753623188405797,NCI109,0,0.001,0.6456556663104677,0.7241998903678996,2,4
DcWjF,0,256,0.7971014492753623,NCI109,0,0.001,0.6987833754831583,0.589601736882114,2,4
EyMB8,0,256,0.7898550724637681,NCI109,0,0.001,0.69351520960911,0.8767817658561848,2,4
iDTNn,0,256,0.7971014492753623,NCI109,0,0.001,0.6482192245440428,0.721787191019271,2,4
zkCdY,0,256,0.7657004830917874,NCI109,0,0.001,0.6917599489691433,0.586943378634282,2,4
n5ax6,0,256,0.7898550724637681,NCI109,0,0.001,0.6944777780712021,0.8768223231949893,2,4
qfdS0,0,256,0.7995169082125604,NCI109,0,0.001,0.6834161251800541,0.8740570564024365,2,4
FXHva,0,256,0.7632850241545893,NCI109,0,0.001,0.6486296314848533,0.7558208011398394,2,4
wcxGv,0,256,0.7705314009661836,NCI109,0,0.001,0.5843590450737999,0.19470495465691307,2,4
cCdNg,0,256,0.7681159420289855,NCI109,0,0.001,0.6443187501476944,0.7260887915676338,6,4
H6vUO,0,256,0.7946859903381642,NCI109,0,0.001,0.6478262448698656,0.823168334419758,4,4
SwY9d,0,256,0.7391304347826086,NCI109,0,0.001,0.5828400015121054,0.16933711263971984,6,4
kjgZw,0,256,0.785024154589372,NCI109,0,0.001,0.5977106143746858,0.8741053632423277,6,4
DEvKE,0,256,0.7632850241545893,NCI109,0,0.001,0.5766598411687658,0.729937460165106,6,4
hDOYx,0,256,0.5797101449275363,NCI109,0,0.001,0.5771022229215348,0.7575855224777369,6,1
o7Gpu,0,256,0.6038647342995169,NCI109,0,0.001,0.652192093237084,0.7539979842806793,4,1
kcnhl,0,256,0.5676328502415459,NCI109,0,0.001,0.5818175226144302,0.7568059081914905,6,1
VDz9o,0,256,0.7246376811594203,NCI109,0,0.001,0.5766812129808478,0.2026691622232878,6,4
Gn85i,0,256,0.5628019323671497,NCI109,0,0.001,0.5962111293821931,0.7543447677706039,6,1
M1211,0,256,0.606280193236715,NCI109,0,0.001,0.5932018495773892,0.43179931514117875,6,1
XNknT,0,256,0.5652173913043478,NCI109,0,0.001,0.824804454729087,0.7600994828339658,6,1
yMhkW,0,256,0.6038647342995169,NCI109,0,0.001,0.7514224789987276,0.7548439853077574,4,1
Gh2Mv,0,256,0.5676328502415459,NCI109,0,0.001,0.5804464622815672,0.7611442154881701,4,1
aPcCP,0,256,0.5555555555555556,NCI109,0,0.001,0.5813724666635669,0.7614612903820501,6,1
XLU2D,0,256,0.6376811594202898,NCI109,0,0.001,0.5997730234603366,0.84254350305072,6,1
ipRjX,0,256,0.606280193236715,NCI109,0,0.001,0.5827075559535619,0.7527949340175275,6,1
AQnDa,0,256,0.5531400966183575,NCI109,0,0.001,0.5922347383018445,0.7494020195307571,4,1
PPuLn,0,256,0.6352657004830918,NCI109,0,0.001,0.6000311769122862,0.4236574228033826,6,1
jl6BQ,0,256,0.6207729468599034,NCI109,0,0.001,0.6029223194213271,0.8466836258652766,6,1
ouCXs,0,256,0.5434782608695652,NCI109,0,0.001,0.8237060203973884,0.43198958606240107,6,1
Jdtao,0,256,0.5917874396135265,NCI109,0,0.001,0.5845143147802943,0.7587706674478558,6,1
Zp1a7,0,256,0.6739130434782609,NCI109,0,0.001,0.6046463819796116,0.43429317616276353,4,1
Al5QI,0,256,0.6376811594202898,NCI109,0,0.001,0.40174375671585566,0.6484382690269278,4,1
c3zre,0,256,0.606280193236715,NCI109,0,0.001,0.6036126954005028,0.7646670295742896,4,1
pS8Tm,0,256,0.6400966183574879,NCI109,0,0.001,0.7154696877147882,0.8477158638411575,4,1
YLJJY,0,256,0.6304347826086957,NCI109,0,0.001,0.7193578321436807,0.425409098893141,4,1
sFpHp,0,256,0.6594202898550725,NCI109,0,0.001,0.41998660500451834,0.8407330436723774,4,1
e5j8v,0,256,0.6545893719806763,NCI109,0,0.001,0.9837356087912945,0.6721383155641096,4,1
FBUYf,0,256,0.7439613526570048,NCI109,0,0.001,0.40487606094175504,0.8437813312673828,4,2
XgV4y,0,256,0.7729468599033816,NCI109,0,0.001,0.7498593849893787,0.6799754546350593,4,2
sFBBQ,0,256,0.7608695652173914,NCI109,0,0.001,0.4103981319772634,0.8396460594056914,4,2
kmvjg,0,256,0.7077294685990339,NCI109,0,0.001,0.41560346657580566,0.42685129654265613,4,2
RZo3B,0,256,0.7318840579710145,NCI109,0,0.001,0.9894848504628582,0.4137897857143912,4,2
qGQG1,0,256,0.7729468599033816,NCI109,0,0.001,0.9976891331867557,0.6416872131636001,4,2
Wd5mr,0,256,0.7415458937198067,NCI109,0,0.001,0.7176628187116801,0.6786966813550375,4,2
Kg9To,0,256,0.7777777777777778,NCI109,0,0.001,0.20388764712896038,0.6538246090860932,4,3
ZWyQb,0,256,0.7608695652173914,NCI109,0,0.001,0.4112356309589497,0.6778422864445468,4,2
F6nPs,0,256,0.7439613526570048,NCI109,0,0.001,0.4219937380103435,0.6495055432435727,4,2
i4iFv,0,256,0.7657004830917874,NCI109,0,0.001,0.9850707956523084,0.8427594476709117,4,2
s9zDb,0,256,0.7536231884057971,NCI109,0,0.001,0.42960822005921157,0.8251897648873634,4,2
qiCqZ,0,256,0.7198067632850241,NCI109,0,0.001,0.9924410701263633,0.3519564084778265,4,2
gNkbm,0,256,0.7608695652173914,NCI109,0,0.001,0.42025752066329425,0.6783671356884613,4,2
H4wxh,0,256,0.7367149758454107,NCI109,0,0.001,0.435312440674374,0.35012164310269467,4,3
o6Ulm,0,256,0.7729468599033816,NCI109,0,0.001,0.428942016127723,0.8225126490483176,4,3
fWpks,0,256,0.7463768115942029,NCI109,0,0.001,0.43058599681819565,0.3541251126104898,4,3
fbgfH,0,256,0.6859903381642513,NCI109,0,0.001,0.5445498824055623,0.23507834367071495,4,2
VvThU,0,256,0.7632850241545893,NCI109,0,0.001,0.43301000981601984,0.8176967926471711,4,2
AQn9c,0,256,0.782608695652174,NCI109,0,0.001,0.9987076937221138,0.8241185692814917,4,3
IZkBr,0,256,0.7367149758454107,NCI109,0,0.001,0.3517171850421489,0.8142926663672815,4,3
KrQZW,0,256,0.6811594202898551,NCI109,0,0.001,0.49774405108814157,0.1331097616182681,4,3
wHFwC,0,256,0.7777777777777778,NCI109,0,0.001,0.5388513893169118,0.23743489241307902,4,3
sEGAd,0,256,0.7729468599033816,NCI109,0,0.001,0.5415653413046938,0.8245734551336642,5,3
OAL4m,0,256,0.7632850241545893,NCI109,0,0.001,0.5018209477056044,0.34316067129302386,5,3
yTA22,0,256,0.7657004830917874,NCI109,0,0.001,0.4363808483421042,0.8199365232700631,5,3
epvJD,0,256,0.8043478260869565,NCI109,0,0.001,0.34289986091610253,0.8234639974902276,5,3
yC54J,0,256,0.7801932367149759,NCI109,0,0.001,0.4380095112424808,0.8202142203039562,5,3
yAiou,0,256,0.6714975845410628,NCI109,0,0.001,0.4908855683351493,0.11898017216300333,5,3
xVssw,0,256,0.7729468599033816,NCI109,0,0.001,0.43453679378044363,0.8996113977845018,5,3
