dataset,pooling_ratio,batch_size,lr,weight_decay,id,reward,num_layers,dropout_ratio,K
PROTEINS,0.7251378707241032,64,0.001,0,MQE2I,0.8125,3,0.03615190163652601,4
PROTEINS,0.7169462030273448,64,0.001,0,iRpna,0.8035714285714286,3,0.13548822019753354,4
PROTEINS,0.7198568257958854,64,0.001,0,Qf6J7,0.8125,3,0.018236089565097507,4
PROTEINS,0.8141100524631282,64,0.001,0,tRD8N,0.8392857142857143,2,0.041523902821891764,2
PROTEINS,0.7290632101404474,64,0.001,0,bQfsn,0.8392857142857143,3,0.042253002293916084,4
PROTEINS,0.7189934069197359,64,0.001,0,HXBLb,0.8303571428571429,2,0.03125789086428854,2
PROTEINS,0.7157827833758009,64,0.001,0,hvHS3,0.8214285714285714,2,0.23603278597473737,2
PROTEINS,0.7333400969312602,64,0.001,0,dgnBZ,0.8303571428571429,2,0.22828203728989604,2
PROTEINS,0.7169592561156336,64,0.001,0,s7h5o,0.8571428571428571,2,0.13534737364132185,2
PROTEINS,0.7229616357519967,64,0.001,0,Ivr7g,0.8214285714285714,2,0.02331965003182991,2
PROTEINS,0.34697510430688255,64,0.001,0,Noxhp,0.8482142857142857,3,0.12914778378728994,4
PROTEINS,0.7298182322010129,64,0.001,0,nIXao,0.8125,3,0.13442116420880512,4
PROTEINS,0.7245782958556131,64,0.001,0,Bp3dL,0.8035714285714286,3,0.23579112774244396,4
PROTEINS,0.729402691923078,64,0.001,0,j4mw4,0.7946428571428571,3,0.2337499181935333,4
PROTEINS,0.7112537225906493,64,0.001,0,M1eqp,0.8035714285714286,3,0.0240264579593929,4
PROTEINS,0.7163625267963927,64,0.001,0,u5VYI,0.8125,2,0.015487096559423569,4
PROTEINS,0.7214471671971978,64,0.001,0,NzSJ8,0.8303571428571429,2,0.1414886190891735,4
PROTEINS,0.7342096154498571,64,0.001,0,oDSmY,0.8392857142857143,2,0.10446833576733808,4
PROTEINS,0.7201700022268892,64,0.001,0,Ekdtb,0.8214285714285714,2,0.23099479378687382,4
PROTEINS,0.720437320343213,64,0.001,0,IwY1c,0.8035714285714286,2,0.11216905309437905,4
PROTEINS,0.7238482108739842,64,0.001,0,zLLog,0.8392857142857143,2,0.003169140004324139,2
PROTEINS,0.7134500474230397,64,0.001,0,qHLqy,0.8303571428571429,2,0.23328633861268988,2
PROTEINS,0.7112919911855368,64,0.001,0,HAl6c,0.8392857142857143,2,0.23495991532081698,2
PROTEINS,0.5475658827755576,64,0.001,0,WAODm,0.8125,6,0.2778708861003956,2
PROTEINS,0.34426376920706336,64,0.001,0,Y4dgW,0.7857142857142857,6,0.2985548168629943,2
PROTEINS,0.7198303999706669,64,0.001,0,RyaAn,0.8214285714285714,6,0.23218975063726824,2
PROTEINS,0.7150656706329918,64,0.001,0,tpan9,0.8035714285714286,6,0.2918502972590311,2
PROTEINS,0.7193032997509541,64,0.001,0,MqEvg,0.8214285714285714,6,0.23179914201922563,2
PROTEINS,0.7287378820192394,64,0.001,0,vZjc9,0.7767857142857143,6,0.23784721985550872,2
PROTEINS,0.7248769276151578,64,0.001,0,tShCJ,0.8125,6,0.10435020122657476,2
PROTEINS,0.5462318525688997,64,0.001,0.0001,SY2nA,0.7946428571428571,6,0.44219736143448896,2
PROTEINS,0.7309916631692593,64,0.001,0.0001,qy9oU,0.8482142857142857,6,0.2334981430566952,2
PROTEINS,0.713206045911172,64,0.001,0.0001,BikKA,0.8035714285714286,6,0.23034740486457983,2
PROTEINS,0.34724579936764977,64,0.001,0.0001,bTQOQ,0.7767857142857143,6,0.27587268441456103,2
PROTEINS,0.7099733707965324,64,0.001,0.0001,svzTA,0.8392857142857143,6,0.10178837600101792,2
PROTEINS,0.7462294198185773,64,0.001,0.0001,hfkCF,0.8303571428571429,6,0.29308157106458643,2
PROTEINS,0.7169501939102791,64,0.001,0.0001,csSWM,0.8482142857142857,6,0.23838611598961373,2
PROTEINS,0.541312902227649,64,0.001,0.0001,WLlv7,0.8035714285714286,6,0.24355791571847446,2
PROTEINS,0.547499691605517,64,0.001,0.0001,LRRk9,0.7946428571428571,6,0.28117034124390533,2
PROTEINS,0.5453013881927367,64,0.001,0.0001,RWD9G,0.7767857142857143,6,0.29840909381310277,2
PROTEINS,0.5441767266403774,64,0.001,0.0001,e0VAo,0.8035714285714286,6,0.2983587913580228,2
PROTEINS,0.5497893625602948,64,0.001,0,WCSw9,0.7767857142857143,4,0.11020819010893548,2
PROTEINS,0.5445923192896376,64,0.001,0.0001,hAybH,0.7767857142857143,4,0.4422490100454264,2
PROTEINS,0.5497852027592062,64,0.001,0.0001,n2dwn,0.7767857142857143,4,0.29334867285155813,2
PROTEINS,0.5489041822556713,64,0.001,0.0001,Ro59f,0.7410714285714286,4,0.28108116409275286,2
PROTEINS,0.7535442830408011,64,0.001,0.0001,nr9zJ,0.7946428571428571,4,0.10199723021302988,2
PROTEINS,0.5351363908482565,64,0.001,0.0001,mjSDc,0.7946428571428571,6,0.2990563891133593,2
PROTEINS,0.750298568080969,64,0.001,0.0001,DjtSe,0.8482142857142857,6,0.29334603999647624,2
PROTEINS,0.6956842897509911,64,0.001,0.0001,H4HSl,0.8214285714285714,6,0.10221352650832304,2
PROTEINS,0.49228328558117046,64,0.001,0.0001,RJykq,0.7946428571428571,6,0.10421320944968117,2
PROTEINS,0.5408041066183049,64,0.001,0.0001,pzYYP,0.7857142857142857,6,0.3057256090805279,2
PROTEINS,0.5407761957063977,64,0.001,0.0001,o1Nhb,0.7946428571428571,6,0.10580507097369717,2
PROTEINS,0.5451732568940497,64,0.001,0.0001,kPHBY,0.8214285714285714,6,0.10419452773902746,2
PROTEINS,0.5343478518516488,64,0.001,0.0001,PHCkD,0.7857142857142857,6,0.2905078924901091,2
PROTEINS,0.7508139444014816,64,0.001,0.0001,b8u5n,0.7946428571428571,6,0.2803396522417923,2
PROTEINS,0.5474274517520904,64,0.001,0.0001,lKGvO,0.8035714285714286,6,0.27894820421149596,2
PROTEINS,0.5499343250155054,64,0.001,0.0001,R3l0l,0.8125,6,0.27965866215740376,2
PROTEINS,0.5449521892264212,64,0.001,0.0001,YJON9,0.8125,4,0.28964681595902353,2
PROTEINS,0.49994668569254386,64,0.001,0.0001,Gcn7a,0.7946428571428571,4,0.2739158308536344,2
PROTEINS,0.49369519596820316,64,0.001,0.0001,s9fp5,0.7857142857142857,4,0.3572365918680009,2
PROTEINS,0.5505710919890928,64,0.001,0.0001,wD1KO,0.8035714285714286,4,0.3528287428225571,2
PROTEINS,0.5433497811242687,64,0.001,0.0001,ZFsmb,0.7857142857142857,4,0.2944527380963125,2
